index,node_col_rank,father_node_name,node_name,keyword（主题词）,alias（别名）,abbreviation（缩写）,description（描述）
0,0,新能源锂电池产业链,下游,,,下游,
1,0,新能源锂电池产业链,上游,,,上游,
2,0,新能源锂电池产业链,中游,"锂电池,",,中游,
3,1,下游,电动汽车,超级电容器、燃料电池、纯电式、插电式,纯电动汽车、混合动力汽车、新能源汽车、环保车、电动轿车、电动公交车,电动汽车,
4,1,下游,储能系统,电池储能、超级电容器储能、压缩空气储能系统、液流电池储能、飞轮储能,储能装置、储能设备、能量储存系统、储电系统、能量回收系统,储能系统,
5,1,下游,消费电子产品,电子设备、手机、平板电脑、笔记本、数码相机、游戏机、智能家居,家用电器、移动设备、个人数码产品、智能设备、数字产品,消费电子产品,消费电子产品是指针对消费者市场而生产的电子设备，例如手机、平板电脑、笔记本电脑、数字相机、游戏机等。这些产品通常用于日常娱乐、通讯、办公、学习等用途。
6,1,下游,无人机,UAV、无人驾驶飞行器、激光雷达、自主导航、遥感技术,UAV、无人驾驶飞行器、无人遥感飞行器、无人航空器、遥控无人机,无人机,无人机，又称无人驾驶飞行器，英文缩写为 UAV（Unmanned Aerial Vehicle），是一种能够在没有人类操控的情况下飞行的飞行器。无人机通常由控制系统、通信系统、导航系统、传感器、电源系统、飞行器结构等组成。
7,1,下游,电力辅助服务,电力辅助、无功控制、电能储备,备用电力、辅助服务、电力平衡服务、电力调节服务,电力辅助服务,力辅助服务（Ancillary Services）是指电力系统在运行过程中为保证系统的安全、可靠、高效运行所需要的各种支持服务。这些支持服务包括调频、调压、电压和无功控制、电能储备等。
8,1,下游,废旧电池回收,回收、分类、再利用,【干电池、充电电池、铅酸蓄电池、镉镍电池、锂电池】回收、二次利用,废旧电池回收,废旧电池回收是指回收处理废旧电池，包括干电池、充电电池、铅酸蓄电池、镉镍电池、锂电池等，防止废旧电池对环境和人类造成的污染和危害。废旧电池中含有有害物质，例如重金属铅、汞、镉、锌等，这些物质如果乱放、乱丢，会对环境和人体造成严重危害。
9,1,下游,材料再利用,材料收集、材料清洗、材料加工、材料再生,回收利用、废旧资源化、再生利用、再造利用、循环利用,材料再利用,电池芯是电池的核心部分，是指电池内部储存电能的部分，通常是由正负极和电解质组成。电池芯一般由电极材料、电解液和隔膜组成。电极材料是储存电荷的主要部分，包括正极和负极，通常由一种或多种化学元素组成；电解液是电极之间的介质，起到传递电荷的作用；隔膜则起到隔离正负极的作用，防止短路。
10,1,上游,电池芯,干电池芯、充电电池芯、蓄电池芯、正负极、隔膜、电解液,电芯、电池芯片、蓄电芯、蓄电芯片、电芯组等,电池芯,
11,1,上游,储能系统,同上,,储能系统,结构件是指用于构成机械、设备、建筑物等的基本构件，通常指的是一些形状简单、作用单一的零部件。结构件可以用于构成机械结构、建筑结构、电子元器件等各种领域的产品。
12,1,上游,结构件10%,机械机构、建筑结构、电子元器件,机械零件、电子元器件、磨具零件、金属配件,结构件10%,
13,1,中游,按照功能分,,,按照功能分,
14,1,中游,按照材料分,,,按照材料分,
15,2,电动汽车,别名,,,别名,
16,2,电动汽车,举例知名企业,,,举例知名企业,
17,2,储能系统,风能储能,抽水储能、压缩空气储能、电池储能、超级电容储能,风能电池、风能抽水储能、风能压缩空气储能、风能超级电容储能、风能动力储存、风能储氢,风能储能,风能储能是一种利用风能进行能量储存的技术，通过将风能转化为电能，再将电能储存于电池等设备中，以便在需要的时候进行使用。这种技术通常用于解决风力发电系统的能量波动问题，以及电网对风电出力的调节需求。
18,2,储能系统,光伏储能,电池储能、氢能储能、热能储能,太阳能储能、光伏电池储能、太阳能电池储能、太阳能蓄电池储能、光伏储能系统,光伏储能,光伏储能是一种利用太阳能进行能量储存的技术，通过将太阳能转化为电能，再将电能储存于电池等设备中，以便在需要的时候进行使用。这种技术通常用于解决光伏发电系统的能量波动问题，以及电网对光伏出力的调节需求。
