产业链,上下游,一级节点,二级节点,三级节点,四级节点
新能源锂电池产业链,下游,电动汽车,别名,新能源汽车,
新能源锂电池产业链,下游,电动汽车,举例知名企业,宁德时代,
新能源锂电池产业链,下游,电动汽车,举例知名企业,比亚迪,
新能源锂电池产业链,下游,储能系统,风能储能,,
新能源锂电池产业链,下游,储能系统,光伏储能,,
新能源锂电池产业链,下游,消费电子产品,移动电源,,
新能源锂电池产业链,下游,消费电子产品,智能穿戴设备,,
新能源锂电池产业链,下游,无人机,,,
新能源锂电池产业链,下游,电力辅助服务,电网储能,,
新能源锂电池产业链,下游,电力辅助服务,企业储能,,
新能源锂电池产业链,下游,电力辅助服务,家庭储能,,
新能源锂电池产业链,下游,废旧电池回收,,,
新能源锂电池产业链,下游,材料再利用,,,
新能源锂电池产业链,上游,电池芯,正极材料（占比45%）,磷酸铁锂,钛酸锂
新能源锂电池产业链,上游,电池芯,正极材料（占比45%）,磷酸铁锂,氢氧化锂
新能源锂电池产业链,上游,电池芯,正极材料（占比45%）,磷酸锰铁锂,
新能源锂电池产业链,上游,电池芯,正极材料（占比45%）,三元材料,
新能源锂电池产业链,上游,电池芯,正极材料（占比45%）,镍酸锂,
新能源锂电池产业链,上游,电池芯,正极材料（占比45%）,钴酸锂,
新能源锂电池产业链,上游,电池芯,正极材料（占比45%）,钛酸锂,
新能源锂电池产业链,上游,电池芯,负极材料（15%）,石墨,
新能源锂电池产业链,上游,电池芯,负极材料（15%）,硅材料,
新能源锂电池产业链,上游,电池芯,隔膜材料（15%）,聚乙烯,
新能源锂电池产业链,上游,电池芯,隔膜材料（15%）,聚丙烯,
新能源锂电池产业链,上游,电池芯,电解液（15%）,锂盐,
新能源锂电池产业链,上游,电池芯,电解液（15%）,有机溶剂,
新能源锂电池产业链,上游,电池芯,电解液（15%）,硫酸,
新能源锂电池产业链,上游,储能系统,电池管理系统,,
新能源锂电池产业链,上游,储能系统,能量管理系统,,
新能源锂电池产业链,上游,储能系统,储能逆变器,,
新能源锂电池产业链,上游,结构件10%,壳体,钢壳,
新能源锂电池产业链,上游,结构件10%,壳体,铝壳,
新能源锂电池产业链,上游,结构件10%,壳体,铝塑膜,
新能源锂电池产业链,上游,结构件10%,塑料膜,,
新能源锂电池产业链,上游,结构件10%,盖板,,
新能源锂电池产业链,中游,按照功能分,动力电池,恩捷股份,
新能源锂电池产业链,中游,按照功能分,动力电池,容百科技,
新能源锂电池产业链,中游,按照功能分,动力电池,杉杉股份,
新能源锂电池产业链,中游,按照功能分,动力电池,贝特瑞,
新能源锂电池产业链,中游,按照功能分,储能电池,,
新能源锂电池产业链,中游,按照功能分,消费电子电池,,
新能源锂电池产业链,中游,按照材料分,锰酸锂电池,,
新能源锂电池产业链,中游,按照材料分,三元锂电池,,
新能源锂电池产业链,中游,按照材料分,磷酸锂铁电池,,
新能源锂电池产业链,中游,按照材料分,镍酸锂电池,,
新能源锂电池产业链,中游,按照材料分,钴酸锂电池,,
新能源锂电池产业链,中游,按照材料分,钛酸锂电池,,
