index,node_col_rank,father_node_name,node_name,keyword,alias,abbreviation,description
0,0,新能源锂电池产业链,下游,,,,
1,0,新能源锂电池产业链,上游,,,,
2,0,新能源锂电池产业链,中游,"锂电池,",,,
3,1,下游,电动汽车,,,,
4,1,下游,储能系统,,,,
5,1,下游,消费电子产品,,,,
6,1,下游,无人机,,,,
7,1,下游,电力辅助服务,,,,
8,1,下游,废旧电池回收,,,,
9,1,下游,材料再利用,,,,
10,1,上游,电池芯,,,,
11,1,上游,储能系统,,,,
12,1,上游,结构件10%,,,,
13,1,中游,按照功能分,,,,
14,1,中游,按照材料分,,,,
15,2,电动汽车,别名,,,,
16,2,电动汽车,举例知名企业,,,,
17,2,储能系统,风能储能,,,,
18,2,储能系统,光伏储能,,,,
19,2,消费电子产品,移动电源,,,,
20,2,消费电子产品,智能穿戴设备,,,,
21,2,电力辅助服务,电网储能,,,,
22,2,电力辅助服务,企业储能,,,,
23,2,电力辅助服务,家庭储能,,,,
24,2,电池芯,正极材料（占比45%）,,,,
25,2,电池芯,负极材料（15%）,,,,
26,2,电池芯,隔膜材料（15%）,,,,
27,2,电池芯,电解液（15%）,,,,
28,2,储能系统,电池管理系统,,,,
29,2,储能系统,能量管理系统,,,,
30,2,储能系统,储能逆变器,,,,
31,2,结构件10%,壳体,,,,
32,2,结构件10%,塑料膜,,,,
33,2,结构件10%,盖板,,,,
34,2,按照功能分,动力电池,,,,
35,2,按照功能分,储能电池,,,,
36,2,按照功能分,消费电子电池,,,,
37,2,按照材料分,锰酸锂电池,,,,
38,2,按照材料分,三元锂电池,,,,
39,2,按照材料分,磷酸锂铁电池,,,,
40,2,按照材料分,镍酸锂电池,,,,
41,2,按照材料分,钴酸锂电池,,,,
42,2,按照材料分,钛酸锂电池,,,,
43,3,别名,新能源汽车,,,,
44,3,举例知名企业,宁德时代,,,,
45,3,举例知名企业,比亚迪,,,,
46,3,正极材料（占比45%）,磷酸铁锂,,,,
47,3,正极材料（占比45%）,磷酸锰铁锂,,,,
48,3,正极材料（占比45%）,三元材料,,,,
49,3,正极材料（占比45%）,镍酸锂,,,,
50,3,正极材料（占比45%）,钴酸锂,,,,
51,3,正极材料（占比45%）,钛酸锂,,,,
52,3,负极材料（15%）,石墨,,,,
53,3,负极材料（15%）,硅材料,,,,
54,3,隔膜材料（15%）,聚乙烯,,,,
55,3,隔膜材料（15%）,聚丙烯,,,,
56,3,电解液（15%）,锂盐,,,,
57,3,电解液（15%）,有机溶剂,,,,
58,3,电解液（15%）,硫酸,,,,
59,3,壳体,钢壳,,,,
60,3,壳体,铝壳,,,,
61,3,壳体,铝塑膜,,,,
62,3,动力电池,恩捷股份,,,,
63,3,动力电池,容百科技,,,,
64,3,动力电池,杉杉股份,,,,
65,3,动力电池,贝特瑞,,,,
