产业链,上下游,一级节点,二级节点,三级节点,四级节点,五级节点,六级节点,七级节点,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,硅棒,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,硅锭,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,硅粉,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,单晶硅,晶圆,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,硅,多晶硅,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,氮化镓,,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,砷化镓,,,,,
{集成电路}产业链,上游,{集成电路}原材料,半导体材料,磷化铟,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,硅胶,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,基板,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,导电胶,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,键合丝,,,,,
{集成电路}产业链,上游,{集成电路}原材料,封装材料,引线框架,,,,,
{集成电路}产业链,上游,{集成电路}原材料,CMP抛光材料,CMP抛光液,,,,,
{集成电路}产业链,上游,{集成电路}原材料,CMP抛光材料,研磨液,,,,,
{集成电路}产业链,上游,{集成电路}原材料,CMP抛光材料,抛光垫,,,,,
{集成电路}产业链,上游,{集成电路}原材料,MO源,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,湿电子化学品,蚀刻液,,,,,
{集成电路}产业链,上游,{集成电路}原材料,印制电路板,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,溅镀靶材,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,光掩模板,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,光刻胶,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,高纯特种气体,,,,,,
{集成电路}产业链,上游,{集成电路}原材料,高纯试剂,,,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,逻辑设计工具,Synopsys Design Compiler,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,电路设计工具,Cadence,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,电路设计工具,Mentor Graphics,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,电路设计工具,Altium Designer,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,布局设计工具,Cadence Virtuoso,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,布局设计工具,Mentor Graphics Calibre,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,仿真工具,Mentor Graphics Calibre,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,仿真工具,Synopsys HSPICE,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,仿真工具,CST Studio Suite,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,仿真工具,Ansoft HFSS,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,嵌入式软件开发工具,Green Hills Software,,,,
{集成电路}产业链,上游,{集成电路}生产设备,设计工具EDA,嵌入式软件开发工具,Wind River Systems,,,,
