产业链,上下游,一级节点,二级节点,三级节点
{集成电路}产业链,上游,制造材料,硅片,硅
{集成电路}产业链,上游,制造材料,电子气体,
{集成电路}产业链,上游,制造材料,光刻胶及配套试剂,
{集成电路}产业链,上游,制造材料,光掩模板,
{集成电路}产业链,上游,制造材料,抛光材料,CMP抛光液
{集成电路}产业链,上游,制造材料,抛光材料,研磨液
{集成电路}产业链,上游,制造材料,抛光材料,抛光垫
{集成电路}产业链,上游,制造材料,高纯试剂,
{集成电路}产业链,上游,制造材料,溅镀靶材,
{集成电路}产业链,上游,封装材料,硅胶,
{集成电路}产业链,上游,封装材料,基板,
{集成电路}产业链,上游,封装材料,导电胶,
{集成电路}产业链,上游,封装材料,键合丝,
{集成电路}产业链,上游,封装材料,引线框架,
{集成电路}产业链,上游,IC生产设备,光刻机,电子束光刻机
{集成电路}产业链,上游,IC生产设备,光刻机,X射线光刻机
{集成电路}产业链,上游,IC生产设备,清洗机,高压喷洗机（HPP）
{集成电路}产业链,上游,IC生产设备,清洗机,涡流清洗机（ECD）
{集成电路}产业链,上游,IC生产设备,清洗机,超声波清洗机
{集成电路}产业链,上游,IC生产设备,离子注入机,高能量离子注入机
{集成电路}产业链,上游,IC生产设备,离子注入机,低能量离子注入机
{集成电路}产业链,上游,IC生产设备,薄膜沉积,物理气相沉积机（PVD）
{集成电路}产业链,上游,IC生产设备,薄膜沉积,化学气相沉积机（CVD）
{集成电路}产业链,上游,IC生产设备,薄膜沉积,原子层沉积机（ALD）
{集成电路}产业链,上游,IC生产设备,刻蚀机,湿法蚀刻机
{集成电路}产业链,上游,IC生产设备,刻蚀机,干法蚀刻机
{集成电路}产业链,上游,IC生产设备,扩散炉,
{集成电路}产业链,上游,集成电路设计,数字集成电路设计,通用处理器设计
{集成电路}产业链,上游,集成电路设计,数字集成电路设计,存储芯片设计
{集成电路}产业链,上游,集成电路设计,数字集成电路设计,微处理器设计
{集成电路}产业链,上游,集成电路设计,数字集成电路设计,可编程器件设计
{集成电路}产业链,上游,集成电路设计,数字集成电路设计,专用领域芯片设计
{集成电路}产业链,上游,集成电路设计,模拟集成电路设计,信号链芯片设计
{集成电路}产业链,上游,集成电路设计,模拟集成电路设计,功率IC设计
{集成电路}产业链,上游,集成电路设计,模拟集成电路设计,射频器件设计
{集成电路}产业链,上游,集成电路设计,设计工具EDA,逻辑设计工具
{集成电路}产业链,上游,集成电路设计,设计工具EDA,电路设计工具
{集成电路}产业链,上游,集成电路设计,设计工具EDA,布局设计工具
{集成电路}产业链,上游,集成电路设计,设计工具EDA,仿真工具
{集成电路}产业链,上游,集成电路设计,设计工具EDA,嵌入式软件开发工具
{集成电路}产业链,中游,集成电路制造,数字集成电路,逻辑电路
{集成电路}产业链,中游,集成电路制造,数字集成电路,存储芯片
{集成电路}产业链,中游,集成电路制造,数字集成电路,微处理器
{集成电路}产业链,中游,集成电路制造,数字集成电路,通用处理器
{集成电路}产业链,中游,集成电路制造,数字集成电路,图像信号处理芯片（ISP）
{集成电路}产业链,中游,集成电路制造,数字集成电路,人工智能处理器（APU）
{集成电路}产业链,中游,集成电路制造,数字集成电路,微控制器（MCU）
{集成电路}产业链,中游,集成电路制造,模拟集成电路,信号链芯片
{集成电路}产业链,中游,集成电路制造,模拟集成电路,功率IC
{集成电路}产业链,中游,集成电路制造,模拟集成电路,射频器件
{集成电路}产业链,中游,集成电路制造,系统级芯片（soc）,通信SOC
{集成电路}产业链,中游,集成电路制造,系统级芯片（soc）,手机SOC
{集成电路}产业链,中游,集成电路制造,系统级芯片（soc）,车规级SOC
{集成电路}产业链,中游,集成电路制造,系统级芯片（soc）,物联网SOC
{集成电路}产业链,中游,集成电路制造,系统级芯片（soc）,医疗健康SOC
{集成电路}产业链,中游,集成电路制造,系统级芯片（soc）,其他SOC
{集成电路}产业链,中游,集成电路封测,集成电路测试,
{集成电路}产业链,中游,集成电路封测,集成电路封装,传统封装
{集成电路}产业链,中游,集成电路封测,集成电路封装,先进封装
{集成电路}产业链,中游,集成电路封测,集成电路封装,CIS封装
{集成电路}产业链,下游,新能源应用,电力生产清洁能源,
{集成电路}产业链,下游,新能源应用,新能源汽车,
{集成电路}产业链,下游,新能源应用,太阳能应用产品,
{集成电路}产业链,下游,信息通信应用,通信设备,
{集成电路}产业链,下游,信息通信应用,航天设备,
{集成电路}产业链,下游,医疗保健设备,,
{集成电路}产业链,下游,IT产品,电脑存储与外围设备,
{集成电路}产业链,下游,IT产品,办公设备,
{集成电路}产业链,下游,IT产品,电脑,
{集成电路}产业链,下游,家用电器,,
{集成电路}产业链,下游,智能电网,,
